FORMULA,IDENTIFIER: Sample number,IDENTIFIER: Point,IDENTIFIER: Row,IDENTIFIER: Column,PROPERTY: Film thickness ($\mu$m),PROPERTY: Area of 110 peak,IDENTIFIER: X position (mm),IDENTIFIER: Y position (mm),PROPERTY: A_avg_X,PROPERTY: A_avg_at_radius,PROPERTY: A_avg_ion_radius,PROPERTY: A_avg_mass,PROPERTY: B_avg_X,PROPERTY: B_avg_at_radius,PROPERTY: B_avg_ion_radius,PROPERTY: B_avg_mass,PROPERTY: AB_site_ratio,PROPERTY: AB_X_ratio,PROPERTY: AB_at_radius_ratio,PROPERTY: AB_ion_radius_ratio,PROPERTY: AB_mass_ratio
Ba0.8458Co0.86351Fe0.0Y0.0Zr0.13649O3,01201,34,4,1,0.14911,,5.4000001,6.650000099999999,0.8899968558943423,2.1499924046885797,1.4899947362725507,137.32651486449703,1.8049305,1.3772980000000001,0.7808449166666667,63.34056697445,0.8458029879707413,0.4930920364492385,1.5610219463678736,1.90818266786337,2.168065766128856
Ba0.84573Co0.86657Fe0.0Y0.0Zr0.13343O3,01201,35,4,2,0.15538,,9.3999996,6.650000099999999,0.8900022232236694,2.150005370708864,1.490003722026143,137.32734304341218,1.8066134999999999,1.376686,0.7805644166666668,63.241757111149994,0.8457278873682506,0.49263565406971077,1.5617253104258082,1.908879895382723,2.1714662798197355
Ba0.84854Co0.86791Fe0.0Y0.0Zr0.13209O3,01201,36,4,3,0.16017,,13.395999999999999,6.650000099999999,0.8899986516179286,2.149996742672524,1.4899977425963074,137.32679194464637,1.8073504999999999,1.3764180000000001,0.7804415833333334,63.19848743245,0.848541285570625,0.4924327913251628,1.5620231228249877,1.9091726714924626,2.172944282747728
Ba0.83445Co0.86814Fe0.0Y0.0Zr0.13186O3,01201,37,4,4,0.16202,,17.395981,6.650000099999999,0.8899963128429352,2.149991092822821,1.4899938271190714,137.3264310716649,1.807477,1.3763720000000002,0.7804205000000002,63.191060547300005,0.8344534570347858,0.49239703345765135,1.562071222622097,1.9092192313234608,2.1731939594347023
Ba0.84406Co0.86762Fe0.0Y0.0Zr0.13238O3,01201,38,4,5,0.16348,,21.392,6.650000099999999,0.8899954050146914,2.1499888997545917,1.4899923072717867,137.3262909937669,1.8071909999999998,1.376476,0.7804681666666667,63.207851765899996,0.8440643578239593,0.49247445622222086,1.561951606678643,1.9091006794491765,2.1726144324976575
Ba0.83578Co0.86691Fe0.0Y0.0Zr0.13309O3,01201,39,4,6,0.15966,7.803975599999999,25.389999,6.650000099999999,0.889998242476283,2.1499957542966386,1.4899970576288333,137.32672881409047,1.8068004999999998,1.3766180000000001,0.7805332500000001,63.23077823745,0.8357816504562617,0.49258246412721446,1.5617954685298596,1.908947578631446,2.17183360132606
Ba0.8266Co0.8645Fe0.0Y0.0Zr0.1355O3,01201,40,4,7,0.15451001,8.9563808,29.388,6.650000099999999,0.8899993427484885,2.1499984122575846,1.489998899657582,137.32689858609177,1.805475,1.3771,0.7807541666666667,63.308599077500006,0.8266006104320232,0.4929447058244996,1.561250753218782,1.908409795645341,2.169166599595441
Ba0.83338Co0.86466Fe0.0Y0.0Zr0.13534O3,01201,41,4,8,0.14785001,,33.386002000000005,6.650000099999999,0.89000073045632,2.1500017645854923,1.490001222898783,137.3271127094102,1.8055629999999998,1.377068,0.7807395,63.3034325487,0.8333793160143951,0.49292144913044855,1.5612894676119788,1.9084486219779873,2.169347019275187
Ba0.83938Co0.87022Fe0.0Y0.0Zr0.12978O3,01201,42,4,9,0.13664,,37.383998999999996,6.650000099999999,0.8900028335087132,2.1500068449929586,1.4900047437393065,137.32743721039444,1.8086209999999998,1.3759560000000002,0.7802298333333334,63.1238956729,0.8393773276595825,0.49208918480362296,1.5625549399784282,1.9096997834261737,2.175522213046035
Ba0.83019Co0.87237Fe0.0Y0.0Zr0.12763O3,01201,43,4,10,0.12588,9.4192543,41.382011,6.650000099999999,0.8900039023467089,2.15000942701733,1.490006533142243,137.32760213209718,1.8098035,1.375526,0.78003275,63.05447044215,0.8301863599157198,0.4917682512751848,1.5630452837804085,1.9101845828168662,2.177920156479466
Ba0.82854Co0.87802Fe0.0Y0.0Zr0.12198O3,01201,44,4,11,0.11381,15.395567000000002,45.380009,6.650000099999999,0.8899962375578205,2.1499909109542856,1.4899937010799467,137.3264194551717,1.812911,1.374396,0.7795148333333334,62.8720273939,0.8285435026371033,0.4909210863400468,1.5643169151789482,1.9114372650338018,2.1842212689405884
